begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol
2023-09-22T00:00:00Z,131.110000,129.120000,132.030000,128.520000,59904348,reg,False,AMZN
2023-09-25T00:00:00Z,129.360000,131.270000,131.780000,128.770000,46017825,reg,False,AMZN
2023-09-26T00:00:00Z,130.120000,125.980000,130.390000,125.280000,73048207,reg,False,AMZN
2023-09-27T00:00:00Z,125.760000,125.980000,127.480000,124.130000,66553449,reg,False,AMZN
2023-09-28T00:00:00Z,124.040000,125.980000,126.580100,123.040000,54554968,reg,False,AMZN
2023-09-29T00:00:00Z,128.200000,127.120000,129.150000,126.320000,62411730,reg,False,AMZN
2023-10-02T00:00:00Z,127.280000,129.460000,130.470000,126.540000,48029744,reg,False,AMZN
2023-10-03T00:00:00Z,128.060000,124.720000,128.520000,124.254400,51564991,reg,False,AMZN
2023-10-04T00:00:00Z,126.060000,127.000000,127.360000,125.680000,44203870,reg,False,AMZN
2023-10-05T00:00:00Z,126.710000,125.960000,126.730000,124.330000,39660643,reg,False,AMZN
2023-10-06T00:00:00Z,124.160000,127.960000,128.450000,124.130000,46836698,reg,False,AMZN
2023-10-09T00:00:00Z,126.220000,128.260000,128.790000,124.760000,38773738,reg,False,AMZN
2023-10-10T00:00:00Z,128.820000,129.480000,130.740000,128.050000,42178619,reg,False,AMZN
2023-10-11T00:00:00Z,129.740000,131.830000,132.050000,129.610000,40741842,reg,False,AMZN
2023-10-12T00:00:00Z,132.170000,132.330000,134.480000,131.230000,55528581,reg,False,AMZN
2023-10-13T00:00:00Z,132.980000,129.790000,133.314500,128.950000,45824685,reg,False,AMZN
2023-10-16T00:00:00Z,130.690000,132.550000,133.070000,130.425000,42832918,reg,False,AMZN
2023-10-17T00:00:00Z,130.390000,131.470000,132.580000,128.710000,49344550,reg,False,AMZN
2023-10-18T00:00:00Z,129.900000,128.130000,130.669900,127.510000,42699479,reg,False,AMZN
2023-10-19T00:00:00Z,130.565000,128.400000,132.240000,127.470000,60961355,reg,False,AMZN
2023-10-20T00:00:00Z,128.050000,125.170000,128.170000,124.970000,56406410,reg,False,AMZN
